06/16/15 07:44:20:687 [6976] ERROR dhplay- already in used.port:0 [dhplay.cpp:50][]
06/16/15 07:46:04:119 [9776] ERROR dhplay- already in used.port:0 [dhplay.cpp:53][]
06/16/15 07:48:54:252 [9884] ERROR dhplay- already in used.port:0 [dhplay.cpp:53][]
06/16/15 07:49:02:767 [9884] ERROR dhplay- already in used.port:0 [dhplay.cpp:53][]
06/16/15 07:49:47:525 [6904] ERROR dhplay- already in used.port:1 [dhplay.cpp:53][]
06/16/15 07:50:13:468 [3472] ERROR dhplay- frame check failed. frameID:49854, lastSeq:-1 [playgraph.cpp:2636][]
06/16/15 07:50:44:904 [10192] ERROR dhplay- already in used.port:1 [dhplay.cpp:53][]
06/16/15 07:50:47:113 [10192] ERROR dhplay- already in used.port:1 [dhplay.cpp:53][]
06/16/15 07:51:14:929 [3552] ERROR dhplay- frame check failed. frameID:49854, lastSeq:-1 [playgraph.cpp:2636][]
06/16/15 07:57:54:174 [6580] ERROR dhplay- frame check failed. frameID:49854, lastSeq:-1 [playgraph.cpp:2636][]
06/16/15 07:58:58:090 [7588] ERROR dhplay- frame check failed. frameID:49854, lastSeq:-1 [playgraph.cpp:2636][]
06/16/15 07:59:32:857 [6004] ERROR dhplay- frame check failed. frameID:49854, lastSeq:-1 [playgraph.cpp:2636][]
06/16/15 08:10:23:846 [9232] ERROR dhplay- frame check failed. frameID:720520, lastSeq:-1 [playgraph.cpp:2636][]
06/16/15 08:10:23:847 [9232] ERROR dhplay- frame check failed. frameID:720521, lastSeq:-1 [playgraph.cpp:2636][]
06/16/15 08:10:23:847 [9232] ERROR dhplay- frame check failed. frameID:720522, lastSeq:-1 [playgraph.cpp:2636][]
06/16/15 08:10:23:847 [9232] ERROR dhplay- frame check failed. frameID:720523, lastSeq:-1 [playgraph.cpp:2636][]
06/16/15 08:10:23:847 [9232] ERROR dhplay- frame check failed. frameID:720524, lastSeq:-1 [playgraph.cpp:2636][]
06/16/15 08:10:23:848 [9232] ERROR dhplay- frame check failed. frameID:720525, lastSeq:-1 [playgraph.cpp:2636][]
06/16/15 08:10:23:848 [9232] ERROR dhplay- frame check failed. frameID:720526, lastSeq:-1 [playgraph.cpp:2636][]
06/16/15 08:10:23:848 [9232] ERROR dhplay- frame check failed. frameID:720527, lastSeq:-1 [playgraph.cpp:2636][]
06/16/15 08:10:23:848 [9232] ERROR dhplay- frame check failed. frameID:720528, lastSeq:-1 [playgraph.cpp:2636][]
06/16/15 08:10:23:848 [9232] ERROR dhplay- frame check failed. frameID:720529, lastSeq:-1 [playgraph.cpp:2636][]
06/16/15 08:10:23:849 [9232] ERROR dhplay- frame check failed. frameID:720530, lastSeq:-1 [playgraph.cpp:2636][]
06/16/15 08:10:23:849 [9232] ERROR dhplay- frame check failed. frameID:720531, lastSeq:-1 [playgraph.cpp:2636][]
06/16/15 08:10:23:849 [9232] ERROR dhplay- frame check failed. frameID:720532, lastSeq:-1 [playgraph.cpp:2636][]
06/16/15 08:10:23:849 [9232] ERROR dhplay- frame check failed. frameID:720533, lastSeq:-1 [playgraph.cpp:2636][]
06/16/15 08:10:23:849 [9232] ERROR dhplay- frame check failed. frameID:720534, lastSeq:-1 [playgraph.cpp:2636][]
06/16/15 08:10:23:849 [9232] ERROR dhplay- frame check failed. frameID:720535, lastSeq:-1 [playgraph.cpp:2636][]
06/16/15 08:10:23:850 [9232] ERROR dhplay- frame check failed. frameID:720536, lastSeq:-1 [playgraph.cpp:2636][]
06/16/15 08:10:23:850 [9232] ERROR dhplay- frame check failed. frameID:720537, lastSeq:-1 [playgraph.cpp:2636][]
06/16/15 08:10:49:172 [6164] ERROR dhplay- already in used.port:5 [dhplay.cpp:53][]
06/16/15 08:11:35:750 [8832] ERROR dhplay- frame check failed. frameID:720520, lastSeq:-1 [playgraph.cpp:2636][]
06/16/15 08:11:35:754 [8832] ERROR dhplay- frame check failed. frameID:720521, lastSeq:-1 [playgraph.cpp:2636][]
06/16/15 08:11:35:754 [8832] ERROR dhplay- frame check failed. frameID:720522, lastSeq:-1 [playgraph.cpp:2636][]
06/16/15 08:11:35:754 [8832] ERROR dhplay- frame check failed. frameID:720523, lastSeq:-1 [playgraph.cpp:2636][]
06/16/15 08:11:35:755 [8832] ERROR dhplay- frame check failed. frameID:720524, lastSeq:-1 [playgraph.cpp:2636][]
06/16/15 08:11:35:755 [8832] ERROR dhplay- frame check failed. frameID:720525, lastSeq:-1 [playgraph.cpp:2636][]
06/16/15 08:11:35:757 [8832] ERROR dhplay- frame check failed. frameID:720526, lastSeq:-1 [playgraph.cpp:2636][]
06/16/15 08:11:35:758 [8832] ERROR dhplay- frame check failed. frameID:720527, lastSeq:-1 [playgraph.cpp:2636][]
06/16/15 08:11:35:758 [8832] ERROR dhplay- frame check failed. frameID:720528, lastSeq:-1 [playgraph.cpp:2636][]
06/16/15 08:11:35:758 [8832] ERROR dhplay- frame check failed. frameID:720529, lastSeq:-1 [playgraph.cpp:2636][]
06/16/15 08:11:35:758 [8832] ERROR dhplay- frame check failed. frameID:720530, lastSeq:-1 [playgraph.cpp:2636][]
06/16/15 08:11:35:759 [8832] ERROR dhplay- frame check failed. frameID:720531, lastSeq:-1 [playgraph.cpp:2636][]
06/16/15 08:11:35:759 [8832] ERROR dhplay- frame check failed. frameID:720532, lastSeq:-1 [playgraph.cpp:2636][]
06/16/15 08:11:35:759 [8832] ERROR dhplay- frame check failed. frameID:720533, lastSeq:-1 [playgraph.cpp:2636][]
06/16/15 08:11:35:759 [8832] ERROR dhplay- frame check failed. frameID:720534, lastSeq:-1 [playgraph.cpp:2636][]
06/16/15 08:11:35:760 [8832] ERROR dhplay- frame check failed. frameID:720535, lastSeq:-1 [playgraph.cpp:2636][]
06/16/15 08:11:35:760 [8832] ERROR dhplay- frame check failed. frameID:720536, lastSeq:-1 [playgraph.cpp:2636][]
06/16/15 08:11:35:760 [8832] ERROR dhplay- frame check failed. frameID:720537, lastSeq:-1 [playgraph.cpp:2636][]
06/16/15 08:11:46:840 [1568] ERROR dhplay- already in used.port:5 [dhplay.cpp:53][]
06/16/15 08:13:54:329 [2352] ERROR dhplay- frame check failed. frameID:720520, lastSeq:-1 [playgraph.cpp:2636][]
06/16/15 08:13:54:329 [2352] ERROR dhplay- frame check failed. frameID:720521, lastSeq:-1 [playgraph.cpp:2636][]
06/16/15 08:13:54:330 [2352] ERROR dhplay- frame check failed. frameID:720522, lastSeq:-1 [playgraph.cpp:2636][]
06/16/15 08:13:54:330 [2352] ERROR dhplay- frame check failed. frameID:720523, lastSeq:-1 [playgraph.cpp:2636][]
06/16/15 08:13:54:330 [2352] ERROR dhplay- frame check failed. frameID:720524, lastSeq:-1 [playgraph.cpp:2636][]
06/16/15 08:13:54:330 [2352] ERROR dhplay- frame check failed. frameID:720525, lastSeq:-1 [playgraph.cpp:2636][]
06/16/15 08:13:54:331 [2352] ERROR dhplay- frame check failed. frameID:720526, lastSeq:-1 [playgraph.cpp:2636][]
06/16/15 08:13:54:331 [2352] ERROR dhplay- frame check failed. frameID:720527, lastSeq:-1 [playgraph.cpp:2636][]
06/16/15 08:13:54:331 [2352] ERROR dhplay- frame check failed. frameID:720528, lastSeq:-1 [playgraph.cpp:2636][]
06/16/15 08:13:54:332 [2352] ERROR dhplay- frame check failed. frameID:720529, lastSeq:-1 [playgraph.cpp:2636][]
06/16/15 08:13:54:333 [2352] ERROR dhplay- frame check failed. frameID:720530, lastSeq:-1 [playgraph.cpp:2636][]
06/16/15 08:13:54:333 [2352] ERROR dhplay- frame check failed. frameID:720531, lastSeq:-1 [playgraph.cpp:2636][]
06/16/15 08:13:54:333 [2352] ERROR dhplay- frame check failed. frameID:720532, lastSeq:-1 [playgraph.cpp:2636][]
06/16/15 08:13:54:333 [2352] ERROR dhplay- frame check failed. frameID:720533, lastSeq:-1 [playgraph.cpp:2636][]
06/16/15 08:13:54:334 [2352] ERROR dhplay- frame check failed. frameID:720534, lastSeq:-1 [playgraph.cpp:2636][]
06/16/15 08:13:54:334 [2352] ERROR dhplay- frame check failed. frameID:720535, lastSeq:-1 [playgraph.cpp:2636][]
06/16/15 08:13:54:334 [2352] ERROR dhplay- frame check failed. frameID:720536, lastSeq:-1 [playgraph.cpp:2636][]
06/16/15 08:13:54:334 [2352] ERROR dhplay- frame check failed. frameID:720537, lastSeq:-1 [playgraph.cpp:2636][]
06/16/15 09:11:03:269 [3124] ERROR dhplay- frame check failed. frameID:650788, lastSeq:-1 [playgraph.cpp:2636][]
06/16/15 09:11:03:269 [3124] ERROR dhplay- frame check failed. frameID:650789, lastSeq:-1 [playgraph.cpp:2636][]
06/16/15 09:11:03:270 [3124] ERROR dhplay- frame check failed. frameID:650790, lastSeq:-1 [playgraph.cpp:2636][]
06/16/15 09:11:03:270 [3124] ERROR dhplay- frame check failed. frameID:650791, lastSeq:-1 [playgraph.cpp:2636][]
